"STATION","NAME","DATE","TMAX"
"USC00081306","CAPE FLORIDA, FL US","2008-01-01","82"
"USC00081306","CAPE FLORIDA, FL US","2008-01-02","81"
"USC00081306","CAPE FLORIDA, FL US","2008-01-03","58"
"USC00081306","CAPE FLORIDA, FL US","2008-01-04","65"
"USC00081306","CAPE FLORIDA, FL US","2008-01-05","70"
"USC00081306","CAPE FLORIDA, FL US","2008-01-06","74"
"USC00081306","CAPE FLORIDA, FL US","2008-01-07","77"
"USC00081306","CAPE FLORIDA, FL US","2008-01-08","78"
"USC00081306","CAPE FLORIDA, FL US","2008-01-09","77"
"USC00081306","CAPE FLORIDA, FL US","2008-01-10","79"
"USC00081306","CAPE FLORIDA, FL US","2008-01-11","79"
"USC00081306","CAPE FLORIDA, FL US","2008-01-12","79"
"USC00081306","CAPE FLORIDA, FL US","2008-01-13","77"
