Year,Month,DayofMonth,DayOfWeek,DepTime,ArrTime,UniqueCarrier,FlightNum,TailNum,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance
2008,1,3,4,2003,2211,WN,335,N712SW,116,-14,8,IAD,TPA,810
2008,1,3,4,628,804,WN,448,N428WN,76,14,8,IND,BWI,515
2008,1,3,4,1940,2121,WN,378,N726SW,87,11,25,IND,JAX,688
2008,1,3,4,1039,1132,WN,535,N428WN,219,-18,-1,IND,LAS,1591
2008,1,3,4,617,652,WN,11,N689SW,70,2,2,IND,MCI,451
2008,1,3,4,1644,1845,WN,1333,N334SW,107,80,94,IND,MCO,828
2008,1,3,4,1426,1426,WN,829,N476WN,39,1,-4,IND,MDW,162
2008,1,3,4,754,940,WN,1144,N778SW,205,-15,9,IND,PHX,1489
2008,1,3,4,1323,1526,WN,4,N674AA,110,16,28,IND,TPA,838
2008,1,3,4,2015,2158,WN,3504,N436WN,91,3,5,JAX,BWI,663
2008,1,3,4,2139,2244,WN,378,N726SW,54,4,9,JAX,FLL,318
2008,1,3,4,905,1334,WN,3222,N309SW,135,4,15,LAS,AUS,1090
2008,1,3,4,1739,114,WN,1018,N245WN,253,49,59,LAS,BDL,2298
2008,1,3,4,906,1426,WN,3948,N467WN,183,-4,1,LAS,BHM,1618
2008,1,3,4,816,1339,WN,249,N256WN,185,-1,1,LAS,BNA,1588
2008,1,3,4,1107,1403,WN,3240,N282WN,279,-22,22,PHL,PHX,2075
2008,1,3,4,1738,1834,WN,461,N791SW,43,44,63,PHL,PIT,267
2008,1,3,4,1723,1830,WN,3493,N206WN,51,5,8,PHL,PVD,238
2008,1,3,4,1536,1645,WN,563,N285WN,54,-15,1,PHL,RDU,336
2008,1,3,4,959,1234,WN,723,N648SW,125,-26,-6,PHL,TPA,920
